,date,id,link,retweet,text,author
3781,23 May 2015,602257227353825280,/realDonaldTrump/status/602257227353825280,True,"""@bamayorgo1: @realDonaldTrump would be better then Jeb Bush""  By a whole lot!",DonaldTrump
3782,23 May 2015,602255639025426432,/realDonaldTrump/status/602255639025426433,True,"""@brianjames75: @GOP, don't choke again! Choose America's boldest leader to date. @realDonaldTrump #GoBigUSA pic.twitter.com/QcUXlwdNNq""",DonaldTrump
3783,23 May 2015,602254043260542976,/realDonaldTrump/status/602254043260542977,True,"""@kcef35: Best looking building in Chicago @realDonaldTrump pic.twitter.com/79qi9AZtj6""",DonaldTrump
3784,22 May 2015,601967503242301440,/realDonaldTrump/status/601967503242301440,True,"""@CarterDeKeyser: People get so mad when I tell them the only person I would even consider voting for in 2016 is @realDonaldTrump if he runs",DonaldTrump
3785,22 May 2015,601966010128826368,/realDonaldTrump/status/601966010128826368,True,"""@ryanbushby: @realDonaldTrump Announce you're running already! We need you! #Trump2016""  I agree, our country is dying!",DonaldTrump
3786,22 May 2015,601958470473142272,/realDonaldTrump/status/601958470473142272,False,I told @megynkelly that @oreillyfactor and I had identical views on a certain issue and she cut it out of the taped interview. Why? Too bad!,DonaldTrump
3787,22 May 2015,601780898711863296,/realDonaldTrump/status/601780898711863296,False,A strong America creates opportunity and growth. We just need to change Washington. Let’s Make America Great Again! https://www.donaldjtrump.com/ ,DonaldTrump
3788,22 May 2015,601779145627033600,/realDonaldTrump/status/601779145627033600,False,"On this Memorial Day holiday, we honor our fallen soldiers who have made the greatest sacrifice for freedom. They are our country’s finest.",DonaldTrump
3789,22 May 2015,601778632277778432,/realDonaldTrump/status/601778632277778432,False,"“Patriotism is supporting your country all the time, and your government when it deserves it.” – Mark Twain",DonaldTrump
3790,21 May 2015,601551956117708800,/realDonaldTrump/status/601551956117708800,False,"""If I run, and if I win, our country will be great again."" - last line of my @SRQRepublicans speech",DonaldTrump
3791,21 May 2015,601550588401319936,/realDonaldTrump/status/601550588401319938,False,"""Our country is not going to have a comeback with any politician."" - my @SRQRepublicans speech",DonaldTrump
